Relacionarse;Oír;Hablar;Ver;Caminar;Manos;Aprendizaje;Comervestirsebañarse;cardíacosrespiratorios;SI
2;111;38;387;247;49;38;0;61;0
0;31;15;143;94;15;18;2;26;3
4;35;12;271;111;9;24;0;14;0
8;281;161;1381;611;92;91;19;123;57
4;89;45;500;276;54;61;4;54;0
7;180;162;864;496;72;95;21;97;87
5;41;72;227;120;43;21;4;13;4
1;42;31;215;98;22;17;3;18;5
3;26;14;198;93;15;26;2;16;6
247;3439;744;11763;8403;1605;1961;163;2834;19
16;414;107;1133;874;108;193;17;412;2
11;208;79;819;611;122;90;16;221;0
6;297;95;981;676;63;75;13;206;2
28;524;123;1913;1200;196;331;38;380;4
10;264;110;767;682;122;91;9;163;2
20;342;114;1138;867;230;205;17;360;1
17;618;183;1568;895;169;111;38;290;0
14;399;102;1174;699;149;158;22;153;1
16;372;97;1378;706;141;112;25;318;0
33;648;199;1801;1250;259;373;33;475;6
5;144;46;463;200;23;46;2;45;0
14;158;63;547;331;62;136;7;67;1
6;141;76;469;330;34;52;25;43;37
14;571;165;1790;901;160;160;19;242;0
18;275;69;462;269;62;73;7;73;0
7;316;65;940;534;92;97;3;151;0
13;501;126;1286;711;123;159;17;199;2
4;117;110;505;269;41;42;2;59;65
8;399;113;1465;644;90;108;11;190;1
41;269;89;766;723;163;199;18;136;0
19;524;116;1438;935;174;133;17;258;3
8;100;52;438;217;19;43;4;29;0
29;353;134;841;559;117;110;16;150;0
24;280;129;1146;1004;198;215;19;470;0
2;41;21;131;100;27;27;0;18;0
22;405;119;1021;916;169;216;19;283;0
17;196;105;680;609;116;172;16;106;1
31;225;94;559;533;64;104;14;173;0
4;197;44;283;347;48;75;5;72;1
2;226;60;618;404;77;70;5;141;0
68;831;280;2271;2103;461;491;36;379;3
4;95;44;463;407;64;70;0;87;0
40;592;119;1608;860;160;131;22;211;1
34;164;51;352;276;48;79;9;80;0
5;284;85;987;596;122;81;11;135;0
7;118;25;377;304;48;64;1;158;0
27;702;165;2462;1431;243;370;36;498;1
18;186;182;863;488;62;105;28;98;91
18;522;116;1228;673;90;100;10;174;1
8;193;95;574;356;88;87;13;69;0
14;66;29;193;264;56;74;6;71;0
258;2120;1240;14351;6647;1035;1802;239;2892;312
56;659;371;4098;1927;246;365;48;710;4
20;272;198;1296;892;175;220;29;335;6
7;54;56;249;207;35;72;2;61;1
6;83;63;434;244;46;53;12;69;3
10;100;111;537;386;51;108;7;67;1
19;83;131;376;373;44;89;19;80;2
18;146;141;692;501;70;104;21;150;0
17;226;119;1130;658;102;144;13;325;2
11;202;121;958;535;67;77;22;89;1
9;124;140;681;509;111;82;7;203;0
7;175;92;948;409;50;109;8;92;0
4;46;18;221;184;20;47;6;96;1
6;103;75;570;348;32;54;4;79;1
8;71;73;403;219;50;72;4;69;0
1;75;47;369;175;25;63;2;38;0
4;131;90;655;435;69;114;8;158;1
21;108;74;570;372;46;91;4;133;1
3;95;80;460;282;52;39;13;81;11
8;210;68;1277;421;66;110;7;165;0
11;120;88;554;404;42;102;11;163;2
11;176;90;2187;562;81;111;12;335;4
3;72;47;551;190;30;42;9;21;0
14;107;94;844;334;60;74;12;93;0
11;86;70;528;359;35;59;9;54;1
162;1048;738;3308;3416;489;1307;146;1023;10
20;155;119;795;516;46;139;10;120;1
5;105;75;315;225;31;33;5;38;0
6;68;69;355;208;24;96;8;26;1
30;336;225;1344;1304;167;444;67;466;2
6;68;45;268;188;17;35;6;62;0
19;164;110;770;408;54;133;20;296;4
32;222;127;976;663;75;171;28;180;4
8;146;53;1007;419;58;105;4;123;0
7;81;59;362;326;73;58;6;60;0
49;330;248;1187;983;139;307;45;234;3
7;75;48;232;213;35;48;6;40;0
16;81;46;812;342;49;108;11;219;4
33;239;175;1521;777;114;211;28;254;1
