Fecha;RENTABILIDAD
27.04.2022;10,329
26.04.2022;10,29
25.04.2022;10,151
22.04.2022;10,129
21.04.2022;9,9
20.04.2022;9,935
19.04.2022;9,999
18.04.2022;9,85
13.04.2022;9,781
12.04.2022;9,685
11.04.2022;9,917
09.04.2022;9,831
08.04.2022;9,831
07.04.2022;9,52
06.04.2022;9,422
05.04.2022;9,56
04.04.2022;9,5
01.04.2022;9,76
31.03.2022;9,923
30.03.2022;9,847
29.03.2022;9,81
28.03.2022;10,174
25.03.2022;10,29
24.03.2022;10,197
23.03.2022;10,06
22.03.2022;9,865
20.03.2022;9,793
19.03.2022;9,793
18.03.2022;9,793
17.03.2022;9,747
16.03.2022;9,78
15.03.2022;9,785
14.03.2022;9,77
12.03.2022;9,74
11.03.2022;9,74
10.03.2022;9,76
09.03.2022;9,8
08.03.2022;9,775
07.03.2022;9,765
06.03.2022;9,54
04.03.2022;9,54
03.03.2022;9,366
02.03.2022;9,57
01.03.2022;9,511
28.02.2022;9,675
26.02.2022;9,604
25.02.2022;9,604
24.02.2022;9,636
23.02.2022;9,4
22.02.2022;9,335
21.02.2022;9,225
20.02.2022;9,16
18.02.2022;9,16
17.02.2022;9,186
16.02.2022;9,15
15.02.2022;9,265
14.02.2022;9,32
13.02.2022;9,215
12.02.2022;9,215
11.02.2022;9,215
10.02.2022;9,2
09.02.2022;9,188
08.02.2022;9,15
07.02.2022;8,973
05.02.2022;8,89
04.02.2022;8,89
03.02.2022;9,06
02.02.2022;9,093
01.02.2022;9,08
31.01.2022;9,22
30.01.2022;9,285
29.01.2022;9,285
28.01.2022;9,285
27.01.2022;9,315
26.01.2022;9,26
25.01.2022;9,359
24.01.2022;9,39
23.01.2022;9,25
22.01.2022;9,25
21.01.2022;9,25
20.01.2022;9,25
19.01.2022;9,447
18.01.2022;9,49
17.01.2022;9,3
14.01.2022;9,2
13.01.2022;9,155
12.01.2022;9,178
11.01.2022;9,19
09.01.2022;9,04
08.01.2022;9,04
07.01.2022;9,04
06.01.2022;8,838
05.01.2022;8,73
04.01.2022;8,648
03.01.2022;8,472
29.12.2021;8,357
28.12.2021;8,294
22.12.2021;8,29
21.12.2021;8,25
20.12.2021;8,13
19.12.2021;8,164
18.12.2021;8,164
17.12.2021;8,164
16.12.2021;8,25
15.12.2021;8,403
14.12.2021;8,43
13.12.2021;8,302
12.12.2021;8,2
11.12.2021;8,2
10.12.2021;8,2
09.12.2021;8,2
07.12.2021;8,275
06.12.2021;8,405
03.12.2021;8,39
02.12.2021;8,39
01.12.2021;8,49
30.11.2021;8,622
29.11.2021;8,72
28.11.2021;8,77
27.11.2021;8,77
26.11.2021;8,77
25.11.2021;8,701
24.11.2021;8,733
23.11.2021;8,63
22.11.2021;8,46
19.11.2021;8,347
18.11.2021;8,27
17.11.2021;8,314
16.11.2021;8,415
13.11.2021;8,4
12.11.2021;8,4
